ID		Centroid		Bounding Box		Equivalent diameter
235	[239.53333333333333,	152.53333333333333]	[79.0,	17.0,	1.0]		6.180387232371033
236	[208.0,	184.0]	[77.0,	17.0,	1.0]		4.918490759365935
237	[237.0,	173.96666666666667]	[81.0,	15.0,	1.0]		6.180387232371033
238	[234.27659574468086,	178.82978723404256]	[76.0,	16.0,	1.0]		7.735777827895049
239	[248.24444444444444,	175.4]	[76.0,	17.0,	1.0]		7.569397566060481
240	[225.71153846153845,	172.48076923076923]	[76.0,	15.0,	1.0]		8.136857890256438
241	[240.75,	183.1875]	[76.0,	11.0,	1.0]		9.0270333367641
242	[234.93150684931507,	148.36986301369862]	[76.0,	11.0,	1.0]		9.640875829802336
243	[244.38709677419354,	187.36559139784947]	[74.0,	14.0,	1.0]		10.881694613449236
244	[226.04347826086956,	171.88695652173914]	[74.0,	14.0,	1.0]		12.100518486599809
245	[233.24817518248176,	181.37226277372264]	[74.0,	11.0,	1.0]		13.207339536360731
246	[248.08045977011494,	180.0977011494253]	[74.0,	11.0,	1.0]		14.884343478431232
247	[237.83756345177665,	170.74111675126903]	[74.0,	12.0,	1.0]		15.837556323903858
248	[218.9598662207358,	172.35117056856188]	[73.0,	10.0,	1.0]		19.511499785403828
249	[239.27627627627626,	181.4924924924925]	[74.0,	9.0,	1.0]		20.590987552733093
250	[238.206008583691,	169.16523605150215]	[73.0,	9.0,	1.0]		24.35835848013133
251	[250.59282371294853,	159.8814352574103]	[73.0,	9.0,	1.0]		28.568278705151968
252	[245.8457269700333,	169.32408435072142]	[68.0,	1.0,	1.0]		33.87017611123954
253	[242.20831387202242,	167.68005604857544]	[65.0,	1.0,	1.0]		52.2111660976652
254	[244.61230490839176,	171.4261479303325]	[64.0,	1.0,	1.0]		75.02660879497456
255	[240.64427531860827,	183.9721883542744]	[1.0,	1.0,	1.0]		314.9714361765677
